id,cve_ent,nom_ent,actividad,X,Y,
FQ1,24,San Luis Potosí,Fabricacion de Quimicos,-100.8766276,22.10292962,
FQ2,24,San Luis Potosí,Fabricacion de Quimicos,-100.9923202,22.16670292,
FQ3,24,San Luis Potosí,Fabricacion de Quimicos,-100.8790193,22.0694362,
FQ4,24,San Luis Potosí,Fabricacion de Quimicos,-100.8935071,22.06107906,
FQ5,24,San Luis Potosí,Fabricacion de Quimicos,-100.8824995,22.0712467,
FQ6,24,San Luis Potosí,Fabricacion de Quimicos,-101.0000883,22.18864671,
FQ7,24,San Luis Potosí,Fabricacion de Quimicos,-100.9513006,22.10167525,
FQ8,24,San Luis Potosí,Fabricacion de Quimicos,-100.947184,22.14033691,
FQ9,24,San Luis Potosí,Fabricacion de Quimicos,-100.8952976,22.14911369,
FQ10,24,San Luis Potosí,Fabricacion de Quimicos,-100.9219042,22.14796104,
FQ11,24,San Luis Potosí,Fabricacion de Quimicos,-100.8868744,22.08532869,
FQ12,24,San Luis Potosí,Fabricacion de Quimicos,-100.9638796,22.12184772,
FQ13,24,San Luis Potosí,Fabricacion de Quimicos,-100.9063384,22.11585026,
FQ14,24,San Luis Potosí,Fabricacion de Quimicos,-100.9930383,22.14742525,
FQ15,24,San Luis Potosí,Fabricacion de Quimicos,-100.9554299,22.16172032,
FQ16,24,San Luis Potosí,Fabricacion de Quimicos,-100.9404474,22.10659331,
FQ17,24,San Luis Potosí,Fabricacion de Quimicos,-100.9029611,22.10874918,
FQ18,24,San Luis Potosí,Fabricacion de Quimicos,-100.9600217,22.12045805,
FQ19,24,San Luis Potosí,Fabricacion de Quimicos,-100.9905645,22.14272172,
FQ20,24,San Luis Potosí,Fabricacion de Quimicos,-101.0302088,22.18775438,
FQ21,24,San Luis Potosí,Fabricacion de Quimicos,-100.9698705,22.14952078,
FQ22,24,San Luis Potosí,Fabricacion de Quimicos,-100.9025289,22.10915581,
FQ23,24,San Luis Potosí,Fabricacion de Quimicos,-101.0310324,22.18743549,
FQ24,24,San Luis Potosí,Fabricacion de Quimicos,-100.9027146,22.15538894,
FQ25,24,San Luis Potosí,Fabricacion de Quimicos,-100.9613712,22.12023709,
FQ26,24,San Luis Potosí,Fabricacion de Quimicos,-100.9416799,22.14715194,
FQ27,24,San Luis Potosí,Fabricacion de Quimicos,-100.980459,22.16648084,
FQ28,24,San Luis Potosí,Fabricacion de Quimicos,-100.9193185,22.12197552,
FQ29,24,San Luis Potosí,Fabricacion de Quimicos,-100.9269901,22.14350835,
FQ30,24,San Luis Potosí,Fabricacion de Quimicos,-100.9934343,22.16993122,
FQ31,24,San Luis Potosí,Fabricacion de Quimicos,-100.9780397,22.15504345,
FQ32,24,San Luis Potosí,Fabricacion de Quimicos,-100.9072557,22.09628688,
FQ33,24,San Luis Potosí,Fabricacion de Quimicos,-100.9642008,22.15364711,
FQ34,24,San Luis Potosí,Fabricacion de Quimicos,-100.966708,22.14955688,
FQ35,24,San Luis Potosí,Fabricacion de Quimicos,-100.899129,22.07438659,
FQ36,24,San Luis Potosí,Fabricacion de Quimicos,-100.9800292,22.16205286,
FQ37,24,San Luis Potosí,Fabricacion de Quimicos,-100.9570328,22.15655911,
FQ38,24,San Luis Potosí,Fabricacion de Quimicos,-100.9704623,22.12342885,
FQ39,24,San Luis Potosí,Fabricacion de Quimicos,-100.8935271,22.06136092,
FQ40,24,San Luis Potosí,Fabricacion de Quimicos,-100.9576056,22.10202531,
FQ41,24,San Luis Potosí,Fabricacion de Quimicos,-100.9492799,22.10328189,
FQ42,24,San Luis Potosí,Fabricacion de Quimicos,-100.880188,22.04760841,
FQ43,24,San Luis Potosí,Fabricacion de Quimicos,-100.8916414,22.10396602,
FQ44,24,San Luis Potosí,Fabricacion de Quimicos,-100.8793701,22.07786265,
FQ45,24,San Luis Potosí,Fabricacion de Quimicos,-100.8782675,22.07839008,
FQ46,24,San Luis Potosí,Fabricacion de Quimicos,-100.9966903,22.1483602,
FQ47,24,San Luis Potosí,Fabricacion de Quimicos,-100.8846301,22.04652546,
FQ48,24,San Luis Potosí,Fabricacion de Quimicos,-100.9040089,22.12141253,
FQ49,24,San Luis Potosí,Fabricacion de Quimicos,-100.9570409,22.17193831,
FQ50,24,San Luis Potosí,Fabricacion de Quimicos,-100.8901931,22.06184006,
pest1,24,San Luis Potosí,fabricacion pesticidas,-101.0131056,22.14117911,
pest2,24,San Luis Potosí,fabricacion pesticidas,-100.8790193,22.0694362,
